Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,23-24,2024-04-13,Nott'm Forest,Wolves,2,2,D
E0,23-24,2024-04-13,Bournemouth,Man United,2,2,D
E0,23-24,2024-04-14,Liverpool,Crystal Palace,0,1,A
E0,23-24,2024-04-14,West Ham,Fulham,0,2,A
E0,23-24,2024-04-14,Arsenal,Aston Villa,0,2,A
E0,23-24,2024-04-15,Chelsea,Everton,6,0,H
E0,23-24,2024-04-20,Luton,Brentford,1,5,A
E0,23-24,2024-04-20,Sheffield United,Burnley,1,4,A
E0,23-24,2024-04-20,Wolves,Arsenal,0,2,A
E0,23-24,2024-04-21,Everton,Nott'm Forest,2,0,H
E0,23-24,2024-04-21,Aston Villa,Bournemouth,3,1,H
E0,23-24,2024-04-21,Crystal Palace,West Ham,5,2,H
E0,23-24,2024-04-21,Fulham,Liverpool,1,3,A
E0,23-24,2024-04-23,Arsenal,Chelsea,5,0,H
E0,23-24,2024-04-24,Wolves,Bournemouth,0,1,A
E0,23-24,2024-04-24,Crystal Palace,Newcastle,2,0,H
E0,23-24,2024-04-24,Everton,Liverpool,2,0,H
E0,23-24,2024-04-24,Man United,Sheffield United,4,2,H
E0,23-24,2024-04-25,Brighton,Man City,0,4,A
E0,23-24,2024-04-27,West Ham,Liverpool,2,2,D
E0,23-24,2024-04-27,Fulham,Crystal Palace,1,1,D
E0,23-24,2024-04-27,Man United,Burnley,1,1,D
E0,23-24,2024-04-27,Newcastle,Sheffield United,5,1,H
E0,23-24,2024-04-27,Wolves,Luton,2,1,H
E0,23-24,2024-04-27,Everton,Brentford,1,0,H
E0,23-24,2024-04-27,Aston Villa,Chelsea,2,2,D
E0,23-24,2024-04-28,Bournemouth,Brighton,3,0,H
E0,23-24,2024-04-28,Tottenham,Arsenal,2,3,A
E0,23-24,2024-04-28,Nott'm Forest,Man City,0,2,A
E0,23-24,2024-05-02,Chelsea,Tottenham,2,0,H
E0,23-24,2024-05-03,Luton,Everton,1,1,D
E0,23-24,2024-05-04,Arsenal,Bournemouth,3,0,H
E0,23-24,2024-05-04,Brentford,Fulham,0,0,D
E0,23-24,2024-05-04,Burnley,Newcastle,1,4,A
E0,23-24,2024-05-04,Sheffield United,Nott'm Forest,1,3,A
E0,23-24,2024-05-04,Man City,Wolves,5,1,H
E0,23-24,2024-05-05,Brighton,Aston Villa,1,0,H
E0,23-24,2024-05-05,Chelsea,West Ham,5,0,H
E0,23-24,2024-05-05,Liverpool,Tottenham,4,2,H
E0,23-24,2024-05-06,Crystal Palace,Man United,4,0,H
E0,23-24,2024-05-11,Fulham,Man City,0,4,A
E0,23-24,2024-05-11,Bournemouth,Brentford,1,2,A
E0,23-24,2024-05-11,Everton,Sheffield United,1,0,H
E0,23-24,2024-05-11,Newcastle,Brighton,1,1,D
E0,23-24,2024-05-11,Tottenham,Burnley,2,1,H
E0,23-24,2024-05-11,West Ham,Luton,3,1,H
E0,23-24,2024-05-11,Wolves,Crystal Palace,1,3,A
E0,23-24,2024-05-11,Nott'm Forest,Chelsea,2,3,A
E0,23-24,2024-05-12,Man United,Arsenal,0,1,A
E0,23-24,2024-05-13,Aston Villa,Liverpool,3,3,D
E0,23-24,2024-05-14,Tottenham,Man City,0,2,A
E0,23-24,2024-05-15,Brighton,Chelsea,1,2,A
E0,23-24,2024-05-15,Man United,Newcastle,3,2,H
E0,23-24,2024-05-19,Arsenal,Everton,2,1,H
E0,23-24,2024-05-19,Brentford,Newcastle,2,4,A
E0,23-24,2024-05-19,Brighton,Man United,0,2,A
E0,23-24,2024-05-19,Burnley,Nott'm Forest,1,2,A
E0,23-24,2024-05-19,Chelsea,Bournemouth,2,1,H
E0,23-24,2024-05-19,Crystal Palace,Aston Villa,5,0,H
E0,23-24,2024-05-19,Liverpool,Wolves,2,0,H
E0,23-24,2024-05-19,Luton,Fulham,2,4,A
E0,23-24,2024-05-19,Man City,West Ham,3,1,H
E0,23-24,2024-05-19,Sheffield United,Tottenham,0,3,A
